個人情報,,,,個人給与,,,,,,,,,会社労務費
ＮＯ,氏名,性別,年齢／月,基本,残業,通勤,支給合計,健康保険,厚生年金,雇用保険,控除,総支給,健康保険,厚生年金,雇用保険,労災保険,育児手当,労務費
0038,斎藤陽子,女,40/05,222300,35520,7015,264835,12441,22555,1853,36849,227986,12441,22555,2913,1324,286,304354
0040,榊原郁恵,女,41/05,212300,33120,6775,252195,12441,22555,1765,36761,215434,12441,22555,2774,1260,286,291511
0041,笹本玲奈,女,42/06,406000,31920,6535,444455,21054,38170,3111,62335,382120,21054,38170,4889,2222,484,511274
0044,山瀬まみ,女,26/01,330000,25200,6374,361574,15300,31230,2531,49061,312513,15300,31230,3977,1807,396,414284
0045,山田美保子,女,43/06,386000,29520,6295,421815,19618,35567,2952,58137,363678,19618,35567,4639,2109,451,484199
0047,寺田有希,女,44/06,396000,30720,6055,432775,21054,38170,3029,62253,370522,21054,38170,4760,2163,484,499406
0049,酒井彩名,女,45/06,376000,28320,5815,410135,19618,35567,2870,58055,352080,19618,35567,4511,2050,451,472332
0052,松下恵,女,46/07,366000,27120,5575,398695,19618,35567,2790,57975,340720,19618,35567,4385,1993,451,460709
0055,上原さくら,女,47/07,356000,25920,5335,387255,18183,32965,2710,53858,333397,18183,32965,4259,1936,418,445016
0056,植松真美,女,27/01,320000,21600,6134,347734,14450,29495,2434,46379,301355,14450,29495,3825,1738,374,397616
0057,新山千春,女,48/07,346000,24720,5095,375815,18183,32965,2630,53778,322037,18183,32965,4133,1879,418,433393
0058,森ちえみ,女,49/07,336000,23520,9744,369264,17226,31230,2584,51040,318224,17226,31230,4061,1846,396,424023
0059,深田恭子,女,28/01,310000,60672,5894,376566,16150,32965,2635,51750,324816,16150,32965,4142,1882,418,432123
0060,仁藤優子,女,50/08,326000,22320,9264,357584,17226,31230,2503,50959,306625,17226,31230,3933,1787,396,412156
0061,水崎綾女,女,51/08,316000,48720,9504,374224,18183,32965,2619,53767,320457,18183,32965,4116,1871,418,431777
0062,星野真希,女,19/00,306000,46320,9024,361344,15300,31230,2529,49059,312285,15300,31230,3974,1806,396,414050
0063,清水萌々子,女,20/00,286000,47520,8784,342304,14450,29495,2396,46341,295963,14450,29495,3765,1711,374,392099
0064,西端さおり,女,21/00,296000,45120,8544,349664,14450,29495,2447,46392,303272,14450,29495,3846,1748,374,399577
0066,石原さとみ,女,22/00,276000,43920,8304,328224,13600,27760,2297,43657,284567,13600,27760,3610,1641,352,375187
0071,村松えり,女,23/00,266000,42720,8064,316784,13600,27760,2217,43577,273207,13600,27760,3484,1583,352,363563
0075,大沢逸美,女,24/01,246000,41520,7824,295344,12750,26025,2067,40842,254502,12750,26025,3248,1476,330,339173
0076,大竹佑季,女,25/01,256000,40320,7584,303904,12750,26025,2127,40902,263002,12750,26025,3342,1519,330,347870
0077,滝口ミラ,女,26/01,236000,39120,11095,286215,11900,24290,2003,38193,248022,11900,24290,3148,1431,308,327292
0078,中村美貴,女,27/01,226000,37920,10615,274535,11900,24290,1921,38111,236424,11900,24290,3019,1372,308,315424
0079,中村麻美,女,29/02,300000,59472,5654,365126,15300,31230,2555,49085,316041,15300,31230,4016,1825,396,417893
0081,中林芽依,女,30/02,280000,58272,11575,349847,14450,29495,2448,46393,303454,14450,29495,3848,1749,374,399763
0084,東ちづる,女,31/02,290000,57072,11335,358407,15300,31230,2508,49038,309369,15300,31230,3942,1792,396,411067
0085,東亜優,女,32/02,250000,55872,11095,316967,13600,27760,2218,43578,273389,13600,27760,3486,1584,352,363749
0088,藤真利子,女,33/02,260000,54672,10615,325287,13600,27760,2277,43637,281650,13600,27760,3578,1626,352,372203
0089,藤本綾,女,28/01,216000,36720,10855,263575,11050,22555,1845,35450,228125,11050,22555,2899,1317,286,301682
0091,馬渕英里何,女,29/02,206000,34320,9895,250215,11050,22555,1751,35356,214859,11050,22555,2752,1251,286,288109
0092,柏木由紀子,女,34/03,270000,53472,10855,334327,14450,29495,2340,46285,288042,14450,29495,3677,1671,374,383994
0093,飯野めぐみ,女,30/02,196000,35520,10135,241655,10200,20820,1691,32711,208944,10200,20820,2658,1208,264,276805
0094,番ことみ,女,31/02,186000,37920,10375,234295,10200,20820,1640,32660,201635,10200,20820,2577,1171,264,269327
0095,比企理恵,女,35/03,240000,52272,9895,302167,12750,26025,2115,40890,261277,12750,26025,3323,1510,330,346105
0096,美波,女,32/02,560000,56400,4800,621200,26350,53785,4348,84483,536717,26350,53785,6833,3106,682,711956
0097,浜口順子,女,33/02,570000,57600,5040,632640,26350,53785,4428,84563,548077,26350,53785,6959,3163,682,723579
0099,福井未菜,女,36/03,230000,51072,10135,291207,12750,26025,2038,40813,250394,12750,26025,3203,1456,330,334971
0100,福田真由美,女,34/03,580000,52800,4320,637120,27625,53785,4459,85869,551251,27625,53785,7008,3185,682,729405
0101,平山あや,女,35/03,590000,51600,12134,653734,27625,53785,4576,85986,567748,27625,53785,7191,3268,682,746285
0102,片平なぎさ,女,36/03,176000,50400,11894,238294,10200,20820,1668,32688,205606,10200,20820,2621,1191,264,273390
0103,豊岡真澄,女,37/03,220000,49872,10375,280247,11900,24290,1961,38151,242096,11900,24290,3082,1401,308,321228
0104,堀越のり,女,38/03,190000,48672,9655,248327,10200,20820,1738,32758,215569,10200,20820,2731,1241,264,283583
0105,堀朱里,女,37/03,550000,49200,11654,610854,26350,53785,4275,84410,526444,26350,53785,6719,3054,682,701444
0108,木南晴夏,女,38/03,540000,48000,11414,599414,25075,51182,4195,80452,518962,25075,51182,6593,2997,649,685910
0109,野村恵里,女,39/04,530000,46800,11174,587974,25075,51182,4115,80372,507602,25075,51182,6467,2939,649,674286
0110,優香,女,39/04,200000,47472,9415,256887,11050,22555,1798,35403,221484,11050,22555,2825,1284,286,294887
0111,有馬稲子,女,40/04,520000,45600,10934,576534,28231,51182,4035,83448,493086,28231,51182,6341,2882,649,665819
0114,林知花,女,41/04,510000,44400,10694,565094,26796,48580,3955,79331,485763,26796,48580,6216,2825,616,650127
0115,林美貴子,女,40/04,210000,46272,9175,265447,12441,22555,1858,36854,228593,12441,22555,2919,1327,286,304975
0118,鈴木砂羽,女,42/04,500000,43200,10454,553654,26796,48580,3875,79251,474403,26796,48580,6090,2768,616,638504
0119,和希沙也,女,43/04,490000,42000,10214,542214,25360,45977,3795,75132,467082,25360,45977,5964,2711,583,622809
0120,和田アキ子,女,41/04,180000,43872,8935,232807,11484,20820,1629,33933,198874,11484,20820,2560,1164,264,269099
0121,濱田万葉,女,44/04,450000,40800,9974,500774,23925,43375,3505,70805,429969,23925,43375,5508,2503,550,576635
0122,籐子,女,45/05,460000,39600,9734,509334,23925,43375,3565,70865,438469,23925,43375,5602,2546,550,585332
合計,,,,28123100,3332076,713148,32168324,1425969,2783799,225135,4434903,27733421,1425969,2783799,353812,160805,35299,36928008
